Daerah,Tahun,Bulan,Produksi (Ton)
Kabupaten Banyuwangi,2022,Oktober,62829.99
Kabupaten Banyuwangi,2022,November,29402.33
Kabupaten Banyuwangi,2022,Desember,24013.23
Kabupaten Banyuwangi,2023,Januari,24888.43
Kabupaten Banyuwangi,2023,Februari,22243.99
Kabupaten Banyuwangi,2023,Maret,55417.45
Kabupaten Banyuwangi,2023,April,76667.52
Kabupaten Banyuwangi,2023,Mei,39582.87
Kabupaten Banyuwangi,2023,Juni,22461.86
Kabupaten Banyuwangi,2023,Juli,27227.33
Kabupaten Banyuwangi,2023,Agustus,27422.7
Kabupaten Banyuwangi,2023,September,39845.29
Kabupaten Banyuwangi,2023,Oktober,59752.95
Kabupaten Banyuwangi,2023,November,30215.09
Kabupaten Banyuwangi,2023,Desember,29042.98
Kabupaten Banyuwangi,2024,Januari,19910.58
Kabupaten Banyuwangi,2024,Februari,12887.81
Kabupaten Banyuwangi,2024,Maret,22480.59
Kabupaten Banyuwangi,2024,April,74152.75
Kabupaten Banyuwangi,2024,Mei,57253.35
Kabupaten Banyuwangi,2024,Juni,22222.12
Kabupaten Banyuwangi,2024,Juli,9386.91
Kabupaten Banyuwangi,2024,Agustus,23550.58
Kabupaten Banyuwangi,2024,September,61509.14
Kabupaten Banyuwangi,2024,Oktober,53309.41
Kabupaten Banyuwangi,2024,November,25169.54
Kabupaten Banyuwangi,2024,Desember,13798.6
Kabupaten Blitar,2018,Januari,2123.29
Kabupaten Blitar,2018,Februari,9013.42
Kabupaten Blitar,2018,Maret,38862.23
Kabupaten Blitar,2018,April,61519.8
Kabupaten Blitar,2018,Mei,32247.23
Kabupaten Blitar,2018,Juni,8911.26
Kabupaten Blitar,2018,Juli,19805.22
Kabupaten Blitar,2018,Agustus,11956.61
Kabupaten Blitar,2018,September,11326.11
Kabupaten Blitar,2018,Oktober,12842.01
Kabupaten Blitar,2018,November,6019.42
Kabupaten Blitar,2018,Desember,9552.03
Kabupaten Blitar,2019,Januari,7160.03
Kabupaten Blitar,2019,Februari,5275.88
Kabupaten Blitar,2019,Maret,20283.15
Kabupaten Blitar,2019,April,69990.1
Kabupaten Blitar,2019,Mei,45601.73
Kabupaten Blitar,2019,Juni,14420.69
Kabupaten Blitar,2019,Juli,4479.15
Kabupaten Blitar,2019,Agustus,11534.68
Kabupaten Blitar,2019,September,12903.84
Kabupaten Blitar,2019,Oktober,17393.19
Kabupaten Blitar,2019,November,11483.51
Kabupaten Blitar,2019,Desember,3501.24
Kabupaten Blitar,2020,Januari,1870.27
Kabupaten Blitar,2020,Februari,2730.98
Kabupaten Blitar,2020,Maret,12637.8
Kabupaten Blitar,2020,April,46673.67
Kabupaten Blitar,2020,Mei,53297.58
Kabupaten Blitar,2020,Juni,14064.84
Kabupaten Blitar,2020,Juli,5259.5
Kabupaten Blitar,2020,Agustus,10509.89
Kabupaten Blitar,2020,September,20763.24
Kabupaten Blitar,2020,Oktober,21814.36
Kabupaten Blitar,2020,November,6532.63
Kabupaten Blitar,2020,Desember,692.77
Kabupaten Blitar,2021,Januari,10497.28
Kabupaten Blitar,2021,Februari,13122.46
Kabupaten Blitar,2021,Maret,27847.25
Kabupaten Blitar,2021,April,59112.91
Kabupaten Blitar,2021,Mei,47925.3
Kabupaten Blitar,2021,Juni,15518.55
Kabupaten Blitar,2021,Juli,14291.18
Kabupaten Blitar,2021,Agustus,12907.61
Kabupaten Blitar,2021,September,14069.02
Kabupaten Blitar,2021,Oktober,12376.19
Kabupaten Blitar,2021,November,9365.02
Kabupaten Blitar,2021,Desember,10333.5
Kabupaten Blitar,2022,Januari,5895.45
Kabupaten Blitar,2022,Februari,6030.96
Kabupaten Blitar,2022,Maret,28149.61
Kabupaten Blitar,2022,April,76764.97
Kabupaten Blitar,2022,Mei,32865.16
Kabupaten Blitar,2022,Juni,7763.05
Kabupaten Blitar,2022,Juli,9165.88
Kabupaten Blitar,2022,Agustus,10244.33
Kabupaten Blitar,2022,September,14799.84
Kabupaten Blitar,2022,Oktober,13375.71
Kabupaten Blitar,2022,November,6949.56
Kabupaten Blitar,2022,Desember,3478.27
Kabupaten Blitar,2023,Januari,6236.93
Kabupaten Blitar,2023,Februari,15391.9
Kabupaten Blitar,2023,Maret,44937.3
Kabupaten Blitar,2023,April,62121.93
Kabupaten Blitar,2023,Mei,20884.39
Kabupaten Blitar,2023,Juni,11921.23
Kabupaten Blitar,2023,Juli,14266.77
Kabupaten Blitar,2023,Agustus,15025.81
Kabupaten Blitar,2023,September,11187.12
Kabupaten Blitar,2023,Oktober,12197.22
Kabupaten Blitar,2023,November,13097.0
Kabupaten Blitar,2023,Desember,12956.81
Kabupaten Blitar,2024,Januari,4000.31
Kabupaten Blitar,2024,Februari,3733.52
Kabupaten Blitar,2024,Maret,10188.78
Kabupaten Blitar,2024,April,33912.17
Kabupaten Blitar,2024,Mei,51445.49
Kabupaten Blitar,2024,Juni,17095.68
Kabupaten Blitar,2024,Juli,4675.76
Kabupaten Blitar,2024,Agustus,6904.23
Kabupaten Blitar,2024,September,11959.52
Kabupaten Blitar,2024,Oktober,10580.12
Kabupaten Blitar,2024,November,12210.44
Kabupaten Blitar,2024,Desember,4448.0
Kabupaten Bojonegoro,2018,Januari,26071.89
Kabupaten Bojonegoro,2018,Februari,98763.59
Kabupaten Bojonegoro,2018,Maret,212131.78
Kabupaten Bojonegoro,2018,April,58608.84
Kabupaten Bojonegoro,2018,Mei,47394.12
Kabupaten Bojonegoro,2018,Juni,81366.73
Kabupaten Bojonegoro,2018,Juli,71031.95
Kabupaten Bojonegoro,2018,Agustus,17230.94
Kabupaten Bojonegoro,2018,September,67496.56
Kabupaten Bojonegoro,2018,Oktober,22365.97
Kabupaten Bojonegoro,2018,November,30882.32
Kabupaten Bojonegoro,2018,Desember,19168.71
Kabupaten Bojonegoro,2019,Januari,25497.92
Kabupaten Bojonegoro,2019,Februari,42334.99
Kabupaten Bojonegoro,2019,Maret,151447.33
Kabupaten Bojonegoro,2019,April,173832.85
Kabupaten Bojonegoro,2019,Mei,18255.29
Kabupaten Bojonegoro,2019,Juni,83824.42
Kabupaten Bojonegoro,2019,Juli,71629.02
Kabupaten Bojonegoro,2019,Agustus,23908.81
Kabupaten Bojonegoro,2019,September,23869.96
Kabupaten Bojonegoro,2019,Oktober,28109.01
Kabupaten Bojonegoro,2019,November,26672.43
Kabupaten Bojonegoro,2019,Desember,22691.13
Kabupaten Bojonegoro,2020,Januari,16455.01
Kabupaten Bojonegoro,2020,Februari,34413.21
Kabupaten Bojonegoro,2020,Maret,101065.38
Kabupaten Bojonegoro,2020,April,201732.58
Kabupaten Bojonegoro,2020,Mei,62503.05
Kabupaten Bojonegoro,2020,Juni,60580.6
Kabupaten Bojonegoro,2020,Juli,81926.37
Kabupaten Bojonegoro,2020,Agustus,66467.02
Kabupaten Bojonegoro,2020,September,31384.47
Kabupaten Bojonegoro,2020,Oktober,30442.06
Kabupaten Bojonegoro,2020,November,26418.17
Kabupaten Bojonegoro,2020,Desember,15527.2
Kabupaten Bojonegoro,2021,Januari,18919.35
Kabupaten Bojonegoro,2021,Februari,56637.29
Kabupaten Bojonegoro,2021,Maret,221428.29
Kabupaten Bojonegoro,2021,April,75747.33
Kabupaten Bojonegoro,2021,Mei,24344.39
Kabupaten Bojonegoro,2021,Juni,100863.21
Kabupaten Bojonegoro,2021,Juli,71378.09
Kabupaten Bojonegoro,2021,Agustus,7327.66
Kabupaten Bojonegoro,2021,September,20833.28
Kabupaten Bojonegoro,2021,Oktober,35055.5
Kabupaten Bojonegoro,2021,November,20144.64
Kabupaten Bojonegoro,2021,Desember,21322.97
Kabupaten Bojonegoro,2022,Januari,9362.65
Kabupaten Bojonegoro,2022,Februari,74278.61
Kabupaten Bojonegoro,2022,Maret,283043.45
Kabupaten Bojonegoro,2022,April,42332.37
Kabupaten Bojonegoro,2022,Mei,10979.17
Kabupaten Bojonegoro,2022,Juni,105282.46
Kabupaten Bojonegoro,2022,Juli,72573.51
Kabupaten Bojonegoro,2022,Agustus,11806.49
Kabupaten Bojonegoro,2022,September,18334.94
Kabupaten Bojonegoro,2022,Oktober,25397.75
Kabupaten Bojonegoro,2022,November,30820.68
Kabupaten Bojonegoro,2022,Desember,20076.86
Kabupaten Bojonegoro,2023,Januari,12065.62
Kabupaten Bojonegoro,2023,Februari,166942.05
Kabupaten Bojonegoro,2023,Maret,179152.2
Kabupaten Bojonegoro,2023,April,33277.34
Kabupaten Bojonegoro,2023,Mei,42244.38
Kabupaten Bojonegoro,2023,Juni,137735.75
Kabupaten Bojonegoro,2023,Juli,26462.7
Kabupaten Bojonegoro,2023,Agustus,15718.57
Kabupaten Bojonegoro,2023,September,22897.35
Kabupaten Bojonegoro,2023,Oktober,31371.81
Kabupaten Bojonegoro,2023,November,24506.87
Kabupaten Bojonegoro,2023,Desember,13587.99
Kabupaten Bojonegoro,2024,Januari,15837.66
Kabupaten Bojonegoro,2024,Februari,41517.71
Kabupaten Bojonegoro,2024,Maret,122138.33
Kabupaten Bojonegoro,2024,April,179810.36
Kabupaten Bojonegoro,2024,Mei,51399.61
Kabupaten Bojonegoro,2024,Juni,82737.06
Kabupaten Bojonegoro,2024,Juli,72779.58
Kabupaten Bojonegoro,2024,Agustus,34705.98
Kabupaten Bojonegoro,2024,September,29925.35
Kabupaten Bojonegoro,2024,Oktober,30994.66
Kabupaten Bojonegoro,2024,November,31305.84
Kabupaten Bojonegoro,2024,Desember,17375.04
Kabupaten Bondowoso,2018,Januari,8154.93
Kabupaten Bondowoso,2018,Februari,15008.83
Kabupaten Bondowoso,2018,Maret,40514.92
Kabupaten Bondowoso,2018,April,39903.57
Kabupaten Bondowoso,2018,Mei,29549.95
Kabupaten Bondowoso,2018,Juni,19214.13
Kabupaten Bondowoso,2018,Juli,27867.64
Kabupaten Bondowoso,2018,Agustus,19266.87
Kabupaten Bondowoso,2018,September,11080.07
Kabupaten Bondowoso,2018,Oktober,10170.13
Kabupaten Bondowoso,2018,November,17985.68
Kabupaten Bondowoso,2018,Desember,15118.56
Kabupaten Bondowoso,2019,Januari,19154.67
Kabupaten Bondowoso,2019,Februari,16305.45
Kabupaten Bondowoso,2019,Maret,30329.06
Kabupaten Bondowoso,2019,April,38176.7
Kabupaten Bondowoso,2019,Mei,24377.45
Kabupaten Bondowoso,2019,Juni,27795.15
Kabupaten Bondowoso,2019,Juli,23535.66
Kabupaten Bondowoso,2019,Agustus,16481.16
Kabupaten Bondowoso,2019,September,14389.28
Kabupaten Bondowoso,2019,Oktober,10430.65
Kabupaten Bondowoso,2019,November,18853.52
Kabupaten Bondowoso,2019,Desember,11543.19
Kabupaten Bondowoso,2020,Januari,18181.82
Kabupaten Bondowoso,2020,Februari,23444.7
Kabupaten Bondowoso,2020,Maret,10395.02
Kabupaten Bondowoso,2020,April,59121.56
Kabupaten Bondowoso,2020,Mei,27602.76
Kabupaten Bondowoso,2020,Juni,26303.89
Kabupaten Bondowoso,2020,Juli,27318.26
Kabupaten Bondowoso,2020,Agustus,15490.44
Kabupaten Bondowoso,2020,September,10428.88
Kabupaten Bondowoso,2020,Oktober,13787.52
Kabupaten Bondowoso,2020,November,16091.82
Kabupaten Bondowoso,2020,Desember,12851.81
Kabupaten Bondowoso,2021,Januari,14739.3
Kabupaten Bondowoso,2021,Februari,14274.66
Kabupaten Bondowoso,2021,Maret,37559.38
Kabupaten Bondowoso,2021,April,43022.78
Kabupaten Bondowoso,2021,Mei,28852.4
Kabupaten Bondowoso,2021,Juni,23350.76
Kabupaten Bondowoso,2021,Juli,31927.95
Kabupaten Bondowoso,2021,Agustus,15306.49
Kabupaten Bondowoso,2021,September,10285.11
Kabupaten Bondowoso,2021,Oktober,13332.86
Kabupaten Bondowoso,2021,November,12687.96
Kabupaten Bondowoso,2021,Desember,13611.81
Kabupaten Bondowoso,2022,Januari,14393.68
Kabupaten Bondowoso,2022,Februari,13967.88
Kabupaten Bondowoso,2022,Maret,37513.22
Kabupaten Bondowoso,2022,April,36719.36
Kabupaten Bondowoso,2022,Mei,31670.35
Kabupaten Bondowoso,2022,Juni,21768.59
Kabupaten Bondowoso,2022,Juli,23118.32
Kabupaten Bondowoso,2022,Agustus,13506.58
Kabupaten Bondowoso,2022,September,10697.93
Kabupaten Bondowoso,2022,Oktober,13976.62
Kabupaten Bondowoso,2022,November,9697.87
Kabupaten Bondowoso,2022,Desember,11647.25
Kabupaten Bondowoso,2023,Januari,12534.31
Kabupaten Bondowoso,2023,Februari,18119.04
Kabupaten Bondowoso,2023,Maret,34054.33
Kabupaten Bondowoso,2023,April,36892.04
Kabupaten Bondowoso,2023,Mei,28360.25
Kabupaten Bondowoso,2023,Juni,25845.35
Kabupaten Bondowoso,2023,Juli,23189.07
Kabupaten Bondowoso,2023,Agustus,14249.23
Kabupaten Bondowoso,2023,September,11439.47
Kabupaten Bondowoso,2023,Oktober,15427.25
Kabupaten Bondowoso,2023,November,15970.39
Kabupaten Bondowoso,2023,Desember,11698.01
Kabupaten Bondowoso,2024,Januari,13288.81
Kabupaten Bondowoso,2024,Februari,21356.98
Kabupaten Bondowoso,2024,Maret,35639.77
Kabupaten Bondowoso,2024,April,37076.51
Kabupaten Bondowoso,2024,Mei,32077.29
Kabupaten Bondowoso,2024,Juni,32642.94
Kabupaten Bondowoso,2024,Juli,23243.59
Kabupaten Bondowoso,2024,Agustus,16754.43
Kabupaten Bondowoso,2024,September,10761.27
Kabupaten Bondowoso,2024,Oktober,13128.05
Kabupaten Bondowoso,2024,November,12246.11
Kabupaten Bondowoso,2024,Desember,11261.93
Kabupaten Gresik,2018,Januari,2781.16
Kabupaten Gresik,2018,Februari,102755.27
Kabupaten Gresik,2018,Maret,57899.01
Kabupaten Gresik,2018,April,15551.44
Kabupaten Gresik,2018,Mei,57103.19
Kabupaten Gresik,2018,Juni,44377.02
Kabupaten Gresik,2018,Juli,20766.06
Kabupaten Gresik,2018,Agustus,10361.25
Kabupaten Gresik,2018,September,18230.62
Kabupaten Gresik,2018,Oktober,11663.03
Kabupaten Gresik,2018,November,6336.64
Kabupaten Gresik,2018,Desember,3877.7
Kabupaten Gresik,2019,Januari,6321.88
Kabupaten Gresik,2019,Februari,25468.78
Kabupaten Gresik,2019,Maret,125024.39
Kabupaten Gresik,2019,April,13865.17
Kabupaten Gresik,2019,Mei,16753.4
Kabupaten Gresik,2019,Juni,80513.07
Kabupaten Gresik,2019,Juli,40806.57
Kabupaten Gresik,2019,Agustus,14270.22
Kabupaten Gresik,2019,September,14105.22
Kabupaten Gresik,2019,Oktober,12496.56
Kabupaten Gresik,2019,November,14245.9
Kabupaten Gresik,2019,Desember,3846.5
Kabupaten Gresik,2020,Januari,6451.09
Kabupaten Gresik,2020,Februari,33654.14
Kabupaten Gresik,2020,Maret,110293.75
Kabupaten Gresik,2020,April,63451.68
Kabupaten Gresik,2020,Mei,6057.83
Kabupaten Gresik,2020,Juni,30704.71
Kabupaten Gresik,2020,Juli,90408.2
Kabupaten Gresik,2020,Agustus,21227.7
Kabupaten Gresik,2020,September,18754.71
Kabupaten Gresik,2020,Oktober,13395.53
Kabupaten Gresik,2020,November,13048.93
Kabupaten Gresik,2020,Desember,268.36
Kabupaten Gresik,2021,Januari,2514.4
Kabupaten Gresik,2021,Februari,38615.05
Kabupaten Gresik,2021,Maret,128026.32
Kabupaten Gresik,2021,April,23672.07
Kabupaten Gresik,2021,Mei,5377.67
Kabupaten Gresik,2021,Juni,95596.82
Kabupaten Gresik,2021,Juli,37155.99
Kabupaten Gresik,2021,Agustus,12286.86
Kabupaten Gresik,2021,September,3529.16
Kabupaten Gresik,2021,Oktober,20564.27
Kabupaten Gresik,2021,November,10208.79
Kabupaten Gresik,2021,Desember,2118.79
Kabupaten Gresik,2022,Januari,618.63
Kabupaten Gresik,2022,Februari,102194.51
Kabupaten Gresik,2022,Maret,90703.72
Kabupaten Gresik,2022,April,13965.33
Kabupaten Gresik,2022,Mei,14177.11
Kabupaten Gresik,2022,Juni,107551.27
Kabupaten Gresik,2022,Juli,27669.02
Kabupaten Gresik,2022,Agustus,14655.14
Kabupaten Gresik,2022,September,6836.77
Kabupaten Gresik,2022,Oktober,22863.35
Kabupaten Gresik,2022,November,8304.24
Kabupaten Gresik,2022,Desember,1703.11
Kabupaten Gresik,2023,Januari,6821.87
Kabupaten Gresik,2023,Februari,128984.62
Kabupaten Gresik,2023,Maret,55184.81
Kabupaten Gresik,2023,April,8036.69
Kabupaten Gresik,2023,Mei,46894.66
Kabupaten Gresik,2023,Juni,88060.65
Kabupaten Gresik,2023,Juli,17662.96
Kabupaten Gresik,2023,Agustus,16872.25
Kabupaten Gresik,2023,September,21069.51
Kabupaten Gresik,2023,Oktober,20042.18
Kabupaten Gresik,2023,November,7555.77
Kabupaten Gresik,2023,Desember,242.61
Kabupaten Gresik,2024,Januari,744.29
Kabupaten Gresik,2024,Februari,7935.33
Kabupaten Gresik,2024,Maret,83438.12
Kabupaten Gresik,2024,April,84003.77
Kabupaten Gresik,2024,Mei,17876.62
Kabupaten Gresik,2024,Juni,30981.83
Kabupaten Gresik,2024,Juli,38057.42
Kabupaten Gresik,2024,Agustus,11509.83
Kabupaten Gresik,2024,September,16839.0
Kabupaten Gresik,2024,Oktober,23370.4
Kabupaten Gresik,2024,November,13436.79
Kabupaten Gresik,2024,Desember,766.13
Kabupaten Jember,2018,Januari,13853.52
